Conf,Week,Team1,Team2,Favorite,Spread
AFC,1,JAX,KC,KC,8
AFC,1,CIN,BUF,BUF,5
NFC,1,NYG,PHI,PHI,7.5
NFC,1,DAL,SF,SF,3.5
AFC,2,BUF,KC,BUF,1
AFC,2,CIN,KC,KC,4
AFC,2,JAX,BUF,BUF,8.5
AFC,2,JAX,CIN,CIN,5
NFC,2,SF,PHI,PHI,1
NFC,2,DAL,PHI,PHI,2
NFC,2,NYG,SF,SF,8.5
NFC,2,NYG,DAL,DAL,7
SB,3,BUF,PHI,BUF,2.5
SB,3,BUF,SF,BUF,1.5
SB,3,BUF,DAL,BUF,3
SB,3,BUF,NYG,BUF,8
SB,3,KC,PHI,KC,1.5
SB,3,KC,SF,KC,0.5
SB,3,KC,DAL,KC,1.5
SB,3,KC,NYG,KC,7
SB,3,CIN,PHI,PHI,0.5
SB,3,CIN,SF,SF,1.5
SB,3,CIN,DAL,DAL,0
SB,3,CIN,NYG,CIN,5
SB,3,JAX,PHI,PHI,4
SB,3,JAX,SF,SF,5
SB,3,JAX,DAL,DAL,4
SB,3,JAX,NYG,JAX,1.5
